Underlying Cause of Death, 2022, age 0-19, Injury Mechanism: by Intent, Urbanization
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,2013 Urbanization,2013 Urbanization Code,Deaths
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,Large Central Metro,1,86
,Drowning,GRINJ-002,Unintentional,1,Small Metro,4,84
,Poisoning,GRINJ-015,Suicide,2,Large Central Metro,1,80
,Poisoning,GRINJ-015,Undetermined ,4,Large Central Metro,1,77
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,Small Metro,4,75
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Large Fringe Metro,2,74
,Fire/Flame,GRINJ-004,Unintentional,1,Large Central Metro,1,73
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,Medium Metro,3,71
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Small Metro,4,70
,Drowning,GRINJ-002,Unintentional,1,NonCore (Nonmetro),6,68
,Poisoning,GRINJ-015,Unintentional,1,NonCore (Nonmetro),6,67
,Unspecified Injury,GRINJ-020,Homicide,3,Large Central Metro,1,65
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,Large Fringe Metro,2,65
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,63
,Suffocation,GRINJ-017,Suicide,2,NonCore (Nonmetro),6,62
,Unspecified Injury,GRINJ-020,Homicide,3,Medium Metro,3,61
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,58
,Poisoning,GRINJ-015,Suicide,2,Large Fringe Metro,2,57
,Poisoning,GRINJ-015,Suicide,2,Medium Metro,3,57
,Fire/Flame,GRINJ-004,Unintentional,1,Medium Metro,3,54
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,Large Central Metro,1,52
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,Large Fringe Metro,2,51
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,49
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Small Metro,4,48
,Fall,GRINJ-003,Suicide,2,Large Central Metro,1,47
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,Medium Metro,3,47
,Fire/Flame,GRINJ-004,Unintentional,1,Large Fringe Metro,2,46
,Cut/Pierce,GRINJ-001,Homicide,3,Large Central Metro,1,45
,Poisoning,GRINJ-015,Undetermined ,4,Large Fringe Metro,2,45
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,45
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,Large Fringe Metro,2,45
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,Large Central Metro,1,45
,Other land transport,GRINJ-011,Unintentional,1,NonCore (Nonmetro),6,44
,Unspecified Injury,GRINJ-020,Homicide,3,Large Fringe Metro,2,44
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,Medium Metro,3,42
,Other land transport,GRINJ-011,Unintentional,1,Medium Metro,3,41
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,Large Fringe Metro,2,40
,Fire/Flame,GRINJ-004,Unintentional,1,Micropolitan (Nonmetro),5,39
,Firearm,GRINJ-006,Undetermined ,4,Large Central Metro,1,39
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,39
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Small Metro,4,39
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,Large Central Metro,1,38
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,Large Central Metro,1,38
,Fall,GRINJ-003,Unintentional,1,Large Central Metro,1,37
,Other land transport,GRINJ-011,Unintentional,1,Micropolitan (Nonmetro),5,37
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Small Metro,4,34
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,Small Metro,4,34
,Other land transport,GRINJ-011,Unintentional,1,Large Fringe Metro,2,32
,Poisoning,GRINJ-015,Undetermined ,4,Medium Metro,3,32
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,Medium Metro,3,32
,Cut/Pierce,GRINJ-001,Homicide,3,Medium Metro,3,31
,Firearm,GRINJ-006,Unintentional,1,Medium Metro,3,31
