Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,10 years,10,77,4083444,1.9
,Drowning,GRINJ-002,Unintentional,1,4 years,4,71,3808594,1.9
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3 years,3,69,3747807,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,19 years,19,80,4384615,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,1 year,1,66,3694222,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,6 years,6,70,3972997,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,6 years,6,70,3972997,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,9 years,9,71,4097627,1.7
,Suffocation,GRINJ-017,Suicide,2,13 years,13,72,4219014,1.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,12 years,12,70,4134024,1.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,8 years,8,69,4110498,1.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,19 years,19,73,4384615,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,7 years,7,66,4075558,1.6
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,< 1 year,0,59,3648654,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,11 years,11,64,4089809,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,4 years,4,59,3808594,1.5
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,67,4357485,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,7 years,7,62,4075558,1.5
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,1 year,1,56,3694222,1.5
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,< 1 year,0,54,3648654,1.5
,Drowning,GRINJ-002,Unintentional,1,5 years,5,57,3896077,1.5
,Firearm,GRINJ-006,Homicide,3,13 years,13,61,4219014,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,9 years,9,59,4097627,1.4
,Poisoning,GRINJ-015,Suicide,2,19 years,19,63,4384615,1.4
,Drowning,GRINJ-002,Unintentional,1,18 years,18,61,4357485,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,10 years,10,57,4083444,1.4
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,17 years,17,60,4395048,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,5 years,5,53,3896077,1.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,18 years,18,59,4357485,1.4
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,2 years,2,48,3611883,1.3
,Drowning,GRINJ-002,Unintentional,1,< 1 year,0,48,3648654,1.3
,Drowning,GRINJ-002,Unintentional,1,19 years,19,57,4384615,1.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,< 1 year,0,47,3648654,1.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,6 years,6,51,3972997,1.3
,Firearm,GRINJ-006,Suicide,2,13 years,13,54,4219014,1.3
