Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: All other diseases (Residual),GR113-111,18 years,18,Female,F,57,2128851,2.7
,Suffocation,GRINJ-017,15 years,15,Female,F,57,2181907,2.6
,Non-Injury: All other diseases (Residual),GR113-111,16 years,16,Female,F,56,2178189,2.6
,Drowning,GRINJ-002,1 year,1,Female,F,55,1806761,3.0
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,1 year,1,Male,M,55,1887461,2.9
,Poisoning,GRINJ-015,1 year,1,Male,M,55,1887461,2.9
,Firearm,GRINJ-006,15 years,15,Female,F,54,2181907,2.5
,Motor Vehicle Traffic,GRINJ-008,2 years,2,Male,M,54,1847159,2.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,19 years,19,Female,F,54,2143573,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,13 years,13,Male,M,54,2161119,2.5
,Suffocation,GRINJ-017,18 years,18,Female,F,54,2128851,2.5
,Drowning,GRINJ-002,4 years,4,Male,M,53,1944687,2.7
,Non-Injury: All other diseases (Residual),GR113-111,3 years,3,Male,M,53,1915584,2.8
,Poisoning,GRINJ-015,1 year,1,Female,F,53,1806761,2.9
,Motor Vehicle Traffic,GRINJ-008,12 years,12,Male,M,52,2120895,2.5
,Non-Injury: All other diseases (Residual),GR113-111,11 years,11,Male,M,51,2093367,2.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,2 years,2,Male,M,51,1847159,2.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,12 years,12,Male,M,51,2120895,2.4
,Suffocation,GRINJ-017,14 years,14,Male,M,51,2205676,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,5 years,5,Female,F,50,1904677,2.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,13 years,13,Female,F,50,2057895,2.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,2 years,2,Male,M,50,1847159,2.7
,Motor Vehicle Traffic,GRINJ-008,1 year,1,Male,M,49,1887461,2.6
,Non-Injury: All other diseases (Residual),GR113-111,14 years,14,Female,F,49,2102597,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,14 years,14,Female,F,49,2102597,2.3
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,1 year,1,Female,F,49,1806761,2.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,12 years,12,Female,F,48,2013129,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,8 years,8,Male,M,48,2099576,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,18 years,18,Female,F,48,2128851,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,14 years,14,Male,M,48,2205676,2.2
,Firearm,GRINJ-006,12 years,12,Male,M,47,2120895,2.2
,Non-Injury: All other diseases (Residual),GR113-111,2 years,2,Female,F,47,1764724,2.7
,Non-Injury: All other diseases (Residual),GR113-111,2 years,2,Male,M,47,1847159,2.5
,Non-Injury: All other diseases (Residual),GR113-111,5 years,5,Male,M,47,1991400,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,8 years,8,Female,F,47,2010922,2.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,19 years,19,Male,M,47,2241042,2.1
,Suffocation,GRINJ-017,13 years,13,Female,F,47,2057895,2.3
,Suffocation,GRINJ-017,16 years,16,Female,F,47,2178189,2.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,3 years,3,Male,M,46,1915584,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,2 years,2,Male,M,46,1847159,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,17 years,17,Female,F,46,2146325,2.1
,Firearm,GRINJ-006,14 years,14,Female,F,45,2102597,2.1
,Motor Vehicle Traffic,GRINJ-008,< 1 year,0,Male,M,45,1864508,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,11 years,11,Female,F,45,1996442,2.3
,Drowning,GRINJ-002,2 years,2,Female,F,44,1764724,2.5
,Non-Injury: All other diseases (Residual),GR113-111,10 years,10,Male,M,44,2086861,2.1
,Non-Injury: All other diseases (Residual),GR113-111,12 years,12,Male,M,44,2120895,2.1
,Non-Injury: Diseases of Heart,GR113 055-068,19 years,19,Male,M,44,2241042,2.0
,Suffocation,GRINJ-017,17 years,17,Female,F,44,2146325,2.1
,Fall,GRINJ-003,19 years,19,Male,M,43,2241042,1.9
,Motor Vehicle Traffic,GRINJ-008,1 year,1,Female,F,43,1806761,2.4
,Suffocation,GRINJ-017,19 years,19,Female,F,43,2143573,2.0
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,< 1 year,0,Female,F,42,1784146,2.4
,Suffocation,GRINJ-017,1 year,1,Male,M,42,1887461,2.2
,Drowning,GRINJ-002,3 years,3,Female,F,41,1832223,2.2
,Non-Injury: All other diseases (Residual),GR113-111,7 years,7,Female,F,41,1992913,2.1
,Non-Injury: All other diseases (Residual),GR113-111,10 years,10,Female,F,41,1996583,2.1
,Non-Injury: All other diseases (Residual),GR113-111,7 years,7,Male,M,41,2082645,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,11 years,11,Male,M,41,2093367,2.0
,Drowning,GRINJ-002,5 years,5,Male,M,40,1991400,2.0
,Drowning,GRINJ-002,17 years,17,Male,M,40,2248723,1.8
,Non-Injury: All other diseases (Residual),GR113-111,3 years,3,Female,F,40,1832223,2.2
,Non-Injury: All other diseases (Residual),GR113-111,4 years,4,Female,F,40,1863907,2.1
,Non-Injury: Diseases of Heart,GR113 055-068,17 years,17,Male,M,40,2248723,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,3 years,3,Male,M,40,1915584,2.1
,Poisoning,GRINJ-015,< 1 year,0,Male,M,40,1864508,2.1
,Motor Vehicle Traffic,GRINJ-008,14 years,14,Female,F,39,2102597,1.9
,Non-Injury: All other diseases (Residual),GR113-111,8 years,8,Female,F,39,2010922,1.9
,Non-Injury: All other diseases (Residual),GR113-111,13 years,13,Female,F,39,2057895,1.9
,Non-Injury: Diseases of Heart,GR113 055-068,18 years,18,Male,M,39,2228634,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,4 years,4,Male,M,39,1944687,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,6 years,6,Male,M,39,2032840,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,10 years,10,Male,M,39,2086861,1.9
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,< 1 year,0,Male,M,38,1864508,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,4 years,4,Female,F,38,1863907,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,10 years,10,Female,F,38,1996583,1.9
,Poisoning,GRINJ-015,< 1 year,0,Female,F,38,1784146,2.1
,Poisoning,GRINJ-015,14 years,14,Male,M,38,2205676,1.7
,Motor Vehicle Traffic,GRINJ-008,9 years,9,Male,M,37,2098259,1.8
,Non-Injury: Influenza & Pneumonia,GR113 077-078,1 year,1,Male,M,37,1887461,2.0
,Suffocation,GRINJ-017,1 year,1,Female,F,37,1806761,2.0
,Motor Vehicle Traffic,GRINJ-008,3 years,3,Female,F,36,1832223,2.0
,Non-Injury: All other diseases (Residual),GR113-111,6 years,6,Male,M,36,2032840,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,19 years,19,Female,F,36,2143573,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,9 years,9,Male,M,36,2098259,1.7
,Drowning,GRINJ-002,16 years,16,Male,M,35,2287751,1.5
,Motor Vehicle Traffic,GRINJ-008,4 years,4,Male,M,35,1944687,1.8
,Motor Vehicle Traffic,GRINJ-008,13 years,13,Female,F,35,2057895,1.7
,Non-Injury: All other diseases (Residual),GR113-111,4 years,4,Male,M,35,1944687,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,1 year,1,Male,M,35,1887461,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,5 years,5,Male,M,35,1991400,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,9 years,9,Female,F,35,1999368,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,7 years,7,Male,M,35,2082645,1.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,18 years,18,Male,M,35,2228634,1.6
,Motor Vehicle Traffic,GRINJ-008,11 years,11,Male,M,34,2093367,1.6
,Non-Injury: All other diseases (Residual),GR113-111,5 years,5,Female,F,34,1904677,1.8
,Non-Injury: All other diseases (Residual),GR113-111,6 years,6,Female,F,34,1940157,1.8
,Non-Injury: All other diseases (Residual),GR113-111,11 years,11,Female,F,34,1996442,1.7
,Suffocation,GRINJ-017,13 years,13,Male,M,34,2161119,1.6
,Motor Vehicle Traffic,GRINJ-008,3 years,3,Male,M,33,1915584,1.7
,Poisoning,GRINJ-015,14 years,14,Female,F,33,2102597,1.6
,Motor Vehicle Traffic,GRINJ-008,< 1 year,0,Female,F,32,1784146,1.8
,Motor Vehicle Traffic,GRINJ-008,5 years,5,Male,M,32,1991400,1.6
,Motor Vehicle Traffic,GRINJ-008,7 years,7,Male,M,32,2082645,1.5
,Non-Injury: All other diseases (Residual),GR113-111,9 years,9,Female,F,32,1999368,1.6
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,2 years,2,Female,F,32,1764724,1.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,3 years,3,Female,F,32,1832223,1.7
,Motor Vehicle Traffic,GRINJ-008,10 years,10,Male,M,31,2086861,1.5
,Non-Injury: Diseases of Heart,GR113 055-068,1 year,1,Female,F,31,1806761,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,2 years,2,Female,F,31,1764724,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,3 years,3,Female,F,31,1832223,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,6 years,6,Female,F,31,1940157,1.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,7 years,7,Female,F,31,1992913,1.6
,Non-Injury: Meningitis,GR113-050,< 1 year,0,Male,M,31,1864508,1.7
,Suffocation,GRINJ-017,2 years,2,Male,M,31,1847159,1.7
,Suffocation,GRINJ-017,12 years,12,Female,F,31,2013129,1.5
,Firearm,GRINJ-006,3 years,3,Male,M,30,1915584,1.6
,Motor Vehicle Traffic,GRINJ-008,7 years,7,Female,F,30,1992913,1.5
,Motor Vehicle Traffic,GRINJ-008,11 years,11,Female,F,30,1996442,1.5
,Motor Vehicle Traffic,GRINJ-008,12 years,12,Female,F,30,2013129,1.5
,Non-Injury: All other diseases (Residual),GR113-111,8 years,8,Male,M,30,2099576,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,18 years,18,Male,M,30,2228634,1.3
,Poisoning,GRINJ-015,2 years,2,Male,M,30,1847159,1.6
,Drowning,GRINJ-002,6 years,6,Male,M,29,2032840,1.4
,Fall,GRINJ-003,18 years,18,Male,M,29,2228634,1.3
,Firearm,GRINJ-006,13 years,13,Female,F,29,2057895,1.4
,Motor Vehicle Traffic,GRINJ-008,8 years,8,Male,M,29,2099576,1.4
