Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Urbanization
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,2013 Urbanization,2013 Urbanization Code,Deaths
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Small Metro,4,34
,Non-Injury: Diabetes mellitus,GR113-046,Medium Metro,3,32
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Micropolitan (Nonmetro),5,31
,Fire/Flame,GRINJ-004,NonCore (Nonmetro),6,30
,Non-Injury: Septicemia,GR113-010,Micropolitan (Nonmetro),5,30
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Medium Metro,3,30
,Non-Injury: Other diseases of respiratory system,GR113-089,Micropolitan (Nonmetro),5,30
,"Other specified, classifiable Injury",GRINJ-018,Small Metro,4,28
,Unspecified Injury,GRINJ-020,NonCore (Nonmetro),6,28
,Non-Injury: Meningitis,GR113-050,Large Central Metro,1,28
,Other land transport,GRINJ-011,Large Central Metro,1,27
,Non-Injury: Meningitis,GR113-050,Large Fringe Metro,2,26
,Struck by or against,GRINJ-016,Medium Metro,3,24
,"Other specified, classifiable Injury",GRINJ-018,NonCore (Nonmetro),6,24
,Non-Injury: Anemias,GR113-045,Large Central Metro,1,24
,Other Pedestrian,GRINJ-010,Large Fringe Metro,2,23
,Natural/Environmental,GRINJ-013,Large Central Metro,1,23
,Non-Injury: Anemias,GR113-045,Medium Metro,3,23
,Non-Injury: Complications of medical and surgical care,GR113-135,Large Central Metro,1,22
,Cut/Pierce,GRINJ-001,Large Fringe Metro,2,21
,Other transport,GRINJ-012,Large Fringe Metro,2,21
,Natural/Environmental,GRINJ-013,Large Fringe Metro,2,20
,Natural/Environmental,GRINJ-013,NonCore (Nonmetro),6,20
,"Other specified, classifiable Injury",GRINJ-018,Micropolitan (Nonmetro),5,20
,"Other specified, not elsewhere classified Injury",GRINJ-019,Large Fringe Metro,2,20
,Non-Injury: Septicemia,GR113-010,NonCore (Nonmetro),6,20
,Non-Injury: Other diseases of respiratory system,GR113-089,NonCore (Nonmetro),6,20
,Fall,GRINJ-003,Small Metro,4,19
,Struck by or against,GRINJ-016,Micropolitan (Nonmetro),5,19
,Non-Injury: Intestinal infections,GR113 001-003,Small Metro,4,19
,Non-Injury: Meningitis,GR113-050,Medium Metro,3,19
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,NonCore (Nonmetro),6,19
,Other Pedestrian,GRINJ-010,Large Central Metro,1,18
,Non-Injury: Diabetes mellitus,GR113-046,Large Fringe Metro,2,18
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Small Metro,4,18
,Non-Injury: Chronic lower respiratory diseases,GR113 082,NonCore (Nonmetro),6,18
,Non-Injury: Anemias,GR113-045,Large Fringe Metro,2,17
,Non-Injury: Diabetes mellitus,GR113-046,Micropolitan (Nonmetro),5,17
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,Large Central Metro,1,17
,Other Pedestrian,GRINJ-010,Medium Metro,3,16
,Other Pedestrian,GRINJ-010,NonCore (Nonmetro),6,16
,Natural/Environmental,GRINJ-013,Medium Metro,3,16
,Non-Injury: Meningitis,GR113-050,NonCore (Nonmetro),6,15
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,Large Fringe Metro,2,15
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Micropolitan (Nonmetro),5,15
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,Large Fringe Metro,2,15
,Fall,GRINJ-003,Micropolitan (Nonmetro),5,14
,Non-Injury: Other acute lower respiratory infections,GR113 079,Large Fringe Metro,2,14
,Non-Injury: Intestinal infections,GR113 001-003,Micropolitan (Nonmetro),5,13
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,Large Central Metro,1,13
,Cut/Pierce,GRINJ-001,Small Metro,4,12
,Fall,GRINJ-003,NonCore (Nonmetro),6,12
,Non-Injury: Other disorders of circulatory system,GR113-075,Large Central Metro,1,12
,Other Pedestrian,GRINJ-010,Small Metro,4,11
,Other Pedestrian,GRINJ-010,Micropolitan (Nonmetro),5,11
,Other transport,GRINJ-012,Large Central Metro,1,11
,Struck by or against,GRINJ-016,Small Metro,4,11
,"Other specified, not elsewhere classified Injury",GRINJ-019,Micropolitan (Nonmetro),5,11
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Small Metro,4,11
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Micropolitan (Nonmetro),5,11
,Non-Injury: Other acute lower respiratory infections,GR113 079,Large Central Metro,1,11
,Non-Injury: Pneumonitis due to solids and liquids,GR113-088,Large Fringe Metro,2,11
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,Medium Metro,3,11
,Non-Injury: Complications of medical and surgical care,GR113-135,Large Fringe Metro,2,11
,Cut/Pierce,GRINJ-001,Micropolitan (Nonmetro),5,10
,Natural/Environmental,GRINJ-013,Small Metro,4,10
,Natural/Environmental,GRINJ-013,Micropolitan (Nonmetro),5,10
,Struck by or against,GRINJ-016,Large Central Metro,1,10
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,Micropolitan (Nonmetro),5,10
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,
Query Parameters:,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,
Year/Month: 2023,,,,,
Group By: Injury Mechanism & All Other Leading Causes; 2013 Urbanization,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: False,,,,,
Show Suppressed: False,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Apr 27, 2025 1:48:28 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 27, 2025 1:48:28 AM",,,,,
---,,,,,
Messages:,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,
2. Population and Rates are not available when values are selected for Single-Year Ages or Ten-Year Age Groups in section 3 or,,,,,
"they appear in Group Results By list in section 1, and county level locations, including urbanization categories and US-Mexico",,,,,
"Border areas, are selected in section 2, or when County, US-Mexico Border areas, or Urbanization appears in the Group Results By",,,,,
"list in section 1. Population, Rates and related measures have been removed from the results. More information#",,,,,
3. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.,,,,,
4. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,,,,
---,,,,,
Caveats:,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,",,,,,
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:",,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated.,,,,,
"3. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023",,,,,
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced",,,,,
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend",,,,,
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data",,,,,
from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1,,,,,
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is",,,,,
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The",,,,,
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic",,,,,
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are",,,,,
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of",,,,,
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,",,,,,
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020",,,,,
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year",,,,,
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010",,,,,
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on",,,,,
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data.",,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,,,,
Group.,,,,,
"5. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,",,,,,
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,",,,,,
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former",,,,,
