Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Non-Injury: Other diseases of respiratory system,GR113-089,2 years,2,27,3611883,0.7
,Non-Injury: Diabetes mellitus,GR113-046,18 years,18,26,4357485,0.6
,Drowning,GRINJ-002,13 years,13,26,4219014,0.6
,Firearm,GRINJ-006,5 years,5,26,3896077,0.7
,Fire/Flame,GRINJ-004,1 year,1,26,3694222,0.7
,Cut/Pierce,GRINJ-001,18 years,18,25,4357485,0.6
,Other land transport,GRINJ-011,18 years,18,25,4357485,0.6
,Other land transport,GRINJ-011,14 years,14,25,4308273,0.6
,Non-Injury: Diseases of Heart,GR113 055-068,14 years,14,25,4308273,0.6
,Poisoning,GRINJ-015,13 years,13,25,4219014,0.6
,Firearm,GRINJ-006,9 years,9,25,4097627,0.6
,Fire/Flame,GRINJ-004,4 years,4,25,3808594,0.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,4 years,4,25,3808594,0.7
,"Other specified, classifiable Injury",GRINJ-018,19 years,19,24,4384615,0.5
,Non-Injury: Diseases of Heart,GR113 055-068,12 years,12,24,4134024,0.6
,Firearm,GRINJ-006,7 years,7,24,4075558,0.6
,Non-Injury: Diabetes mellitus,GR113-046,19 years,19,23,4384615,0.5
,Fall,GRINJ-003,16 years,16,23,4465940,0.5
,Drowning,GRINJ-002,8 years,8,23,4110498,0.6
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,5 years,5,23,3896077,0.6
,"Other specified, classifiable Injury",GRINJ-018,1 year,1,23,3694222,0.6
,Non-Injury: Septicemia,GR113-010,1 year,1,23,3694222,0.6
,"Other specified, classifiable Injury",GRINJ-018,18 years,18,22,4357485,0.5
,Other land transport,GRINJ-011,16 years,16,22,4465940,0.5
,Drowning,GRINJ-002,14 years,14,22,4308273,0.5
,Fire/Flame,GRINJ-004,7 years,7,22,4075558,0.5
,Non-Injury: Influenza & Pneumonia,GR113 077-078,4 years,4,22,3808594,0.6
,Unspecified Injury,GRINJ-020,3 years,3,22,3747807,0.6
,Natural/Environmental,GRINJ-013,1 year,1,22,3694222,0.6
,Non-Injury: Other acute lower respiratory infections,GR113 079,< 1 year,0,22,3648654,0.6
,Non-Injury: Chronic lower respiratory diseases,GR113 082,19 years,19,21,4384615,0.5
,Firearm,GRINJ-006,6 years,6,21,3972997,0.5
,Fire/Flame,GRINJ-004,5 years,5,21,3896077,0.5
,Suffocation,GRINJ-017,3 years,3,21,3747807,0.6
,Non-Injury: Diseases of Heart,GR113 055-068,3 years,3,21,3747807,0.6
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,15 years,15,20,4472392,0.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,14 years,14,20,4308273,0.5
,Fire/Flame,GRINJ-004,13 years,13,20,4219014,0.5
,Non-Injury: Diseases of Heart,GR113 055-068,13 years,13,20,4219014,0.5
,Firearm,GRINJ-006,8 years,8,20,4110498,0.5
,Other land transport,GRINJ-011,15 years,15,19,4472392,Unreliable
,Fire/Flame,GRINJ-004,6 years,6,19,3972997,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,5 years,5,19,3896077,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,1 year,1,19,3694222,Unreliable
,"Other specified, not elsewhere classified Injury",GRINJ-019,< 1 year,0,19,3648654,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,18 years,18,18,4357485,Unreliable
,Fall,GRINJ-003,15 years,15,18,4472392,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,15 years,15,18,4472392,Unreliable
,Drowning,GRINJ-002,12 years,12,18,4134024,Unreliable
,Other land transport,GRINJ-011,11 years,11,18,4089809,Unreliable
,Suffocation,GRINJ-017,10 years,10,18,4083444,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,7 years,7,18,4075558,Unreliable
,Suffocation,GRINJ-017,4 years,4,18,3808594,Unreliable
,Firearm,GRINJ-006,1 year,1,18,3694222,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,19 years,19,17,4384615,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,17 years,17,17,4395048,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,16 years,16,17,4465940,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,14 years,14,17,4308273,Unreliable
,Other land transport,GRINJ-011,13 years,13,17,4219014,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,13 years,13,17,4219014,Unreliable
,Poisoning,GRINJ-015,12 years,12,17,4134024,Unreliable
,Drowning,GRINJ-002,7 years,7,17,4075558,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,18 years,18,16,4357485,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,18 years,18,16,4357485,Unreliable
,Unspecified Injury,GRINJ-020,17 years,17,16,4395048,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,17 years,17,16,4395048,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,11 years,11,16,4089809,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,10 years,10,16,4083444,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,7 years,7,16,4075558,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,6 years,6,16,3972997,Unreliable
,Suffocation,GRINJ-017,5 years,5,16,3896077,Unreliable
,Unspecified Injury,GRINJ-020,5 years,5,16,3896077,Unreliable
,Non-Injury: Septicemia,GR113-010,5 years,5,16,3896077,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,5 years,5,16,3896077,Unreliable
,Non-Injury: Septicemia,GR113-010,3 years,3,16,3747807,Unreliable
,Non-Injury: Septicemia,GR113-010,2 years,2,16,3611883,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,2 years,2,16,3611883,Unreliable
,Unspecified Injury,GRINJ-020,18 years,18,15,4357485,Unreliable
,Cut/Pierce,GRINJ-001,17 years,17,15,4395048,Unreliable
,Cut/Pierce,GRINJ-001,16 years,16,15,4465940,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,16 years,16,15,4465940,Unreliable
,Non-Injury: Septicemia,GR113-010,16 years,16,15,4465940,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,15 years,15,15,4472392,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,15 years,15,15,4472392,Unreliable
