Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,1 year,1,Male,M,55,1887461,2.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,15 years,15,Female,F,63,2181907,2.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,15 years,15,Female,F,62,2181907,2.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,16 years,16,Male,M,65,2287751,2.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,16 years,16,Female,F,61,2178189,2.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,3 years,3,Male,M,53,1915584,2.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,9 years,9,Male,M,58,2098259,2.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,2 years,2,Male,M,51,1847159,2.8
,Drowning,GRINJ-002,Unintentional,1,1 year,1,Female,F,49,1806761,2.7
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,1 year,1,Female,F,49,1806761,2.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,2 years,2,Male,M,50,1847159,2.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,18 years,18,Female,F,57,2128851,2.7
,Suffocation,GRINJ-017,Suicide,2,14 years,14,Female,F,56,2102597,2.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,2 years,2,Female,F,47,1764724,2.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,14 years,14,Male,M,58,2205676,2.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,5 years,5,Female,F,50,1904677,2.6
,Drowning,GRINJ-002,Unintentional,1,4 years,4,Male,M,51,1944687,2.6
,Poisoning,GRINJ-015,Unintentional,1,15 years,15,Male,M,60,2290485,2.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,1 year,1,Male,M,49,1887461,2.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,16 years,16,Female,F,56,2178189,2.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,2 years,2,Male,M,47,1847159,2.5
,Suffocation,GRINJ-017,Suicide,2,15 years,15,Female,F,55,2181907,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,19 years,19,Female,F,54,2143573,2.5
,Firearm,GRINJ-006,Homicide,3,17 years,17,Female,F,54,2146325,2.5
