Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Other acute lower respiratory infections,GR113 079,White,2106-3,Male,M,20,29519218,0.1
,Motor Vehicle Traffic,GRINJ-008,Asian,A,Female,F,19,2357677,Unreliable
,Other Pedestrian,GRINJ-010,White,2106-3,Female,F,19,28069688,Unreliable
,Other land transport,GRINJ-011,Black or African American,2054-5,Male,M,18,6401519,Unreliable
,Natural/Environmental,GRINJ-013,Black or African American,2054-5,Male,M,18,6401519,Unreliable
,Struck by or against,GRINJ-016,White,2106-3,Female,F,18,28069688,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,More than one race,M,Female,F,18,2370648,Unreliable
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,White,2106-3,Male,M,18,29519218,Unreliable
,Drowning,GRINJ-002,More than one race,M,Female,F,16,2370648,Unreliable
,Non-Injury: Meningitis,GR113-050,Black or African American,2054-5,Male,M,16,6401519,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,16,141294,Unreliable
,Poisoning,GRINJ-015,Asian,A,Female,F,15,2357677,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,More than one race,M,Male,M,15,2473608,Unreliable
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,White,2106-3,Female,F,15,28069688,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Native Hawaiian or Other Pacific Islander,NHOPI,Female,F,15,135743,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,15,141294,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,American Indian or Alaska Native,1002-5,Female,F,15,687498,Unreliable
,Non-Injury: Complications of medical and surgical care,GR113-135,White,2106-3,Female,F,15,28069688,Unreliable
,Cut/Pierce,GRINJ-001,White,2106-3,Female,F,14,28069688,Unreliable
,Fall,GRINJ-003,Asian,A,Male,M,14,2477040,Unreliable
,Other land transport,GRINJ-011,Black or African American,2054-5,Female,F,14,6224035,Unreliable
,Unspecified Injury,GRINJ-020,More than one race,M,Male,M,14,2473608,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,More than one race,M,Female,F,14,2370648,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,American Indian or Alaska Native,1002-5,Female,F,14,687498,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,13,141294,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,More than one race,M,Male,M,13,2473608,Unreliable
,"Other specified, not elsewhere classified Injury",GRINJ-019,Black or African American,2054-5,Female,F,13,6224035,Unreliable
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,White,2106-3,Female,F,13,28069688,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,More than one race,M,Male,M,13,2473608,Unreliable
,Non-Injury: Pneumonitis due to solids and liquids,GR113-088,White,2106-3,Female,F,13,28069688,Unreliable
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Native Hawaiian or Other Pacific Islander,NHOPI,Female,F,13,135743,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Asian,A,Female,F,12,2357677,Unreliable
